Fecha,Anio,Mes,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio,share_mes,Frecuencia,TipoDato
2010-03-01,2010,3,8468.48,4225.83,0.0,3940.456659657071,48719489.88932474,1.0861754877062761,12534.429571630333,0.1314064617693887,Mensual,Estimado
2010-04-01,2010,4,8468.48,4225.83,0.0,3026.267556757438,37416529.19148379,0.8341819041036618,12534.429571630333,0.1009200573305115,Mensual,Estimado
2010-05-01,2010,5,8468.48,4225.83,0.0,2364.2211398889467,29231040.427423842,0.6516907230462593,12534.429571630333,0.0788421144213865,Mensual,Estimado
2010-06-01,2010,6,8468.48,4225.83,0.0,1900.2798931236212,23494908.08712015,0.523806659472714,12534.429571630335,0.06337058841008,Mensual,Estimado
2010-07-01,2010,7,8468.48,4225.83,0.0,1563.499720697952,19330985.064338986,0.43097417846121355,12534.429571630335,0.0521396335551183,Mensual,Estimado
2010-08-01,2010,8,8468.48,4225.83,0.0,1130.3199360587623,13975184.97292889,0.31156942300174895,12534.429571630333,0.037693941665586,Mensual,Estimado
2010-09-01,2010,9,8468.48,4225.83,0.0,1597.0561356205258,19745873.885292187,0.4402239072343687,12534.429571630333,0.0532586738429576,Mensual,Estimado
2010-10-01,2010,10,8468.48,4225.83,0.0,2177.1631913708006,26918270.96472386,0.6001287402585296,12534.429571630333,0.0726041005860182,Mensual,Estimado
2010-11-01,2010,11,8468.48,4225.83,0.0,2762.137713701988,34150849.01031189,0.7613752763755184,12534.429571630335,0.0921118477443055,Mensual,Estimado
2010-12-01,2010,12,8468.48,4225.83,0.0,3612.8541842001596,44669039.17528749,0.9958728123345939,12534.429571630333,0.1204815650163224,Mensual,Estimado
2011-01-01,2011,1,10867.98,5929.35,0.0,4675.505593849245,47485887.90120739,0.8599085609157784,10398.368438257798,0.1238822155600763,Mensual,Estimado
2011-02-01,2011,2,10867.98,5929.35,0.0,3204.7573915250864,32548512.067812294,0.5894118317933078,10398.368438257796,0.0849132651059041,Mensual,Estimado
2011-03-01,2011,3,10867.98,5929.35,0.0,3722.1190389280273,37802997.74852222,0.6845638320981596,10398.368438257796,0.0986212814561363,Mensual,Estimado
2011-04-01,2011,4,10867.98,5929.35,0.0,3356.3444032049124,34088076.869825736,0.6172913768929016,10398.368438257798,0.0889297151945816,Mensual,Estimado
2011-05-01,2011,5,10867.98,5929.35,0.0,2661.8469419034836,27034544.811513737,0.4895609527665758,10398.368438257796,0.0705283075863752,Mensual,Estimado
2011-06-01,2011,6,10867.98,5929.35,0.0,2197.0574736265976,22313998.520799644,0.404077910393453,10398.368438257798,0.0582132439117904,Mensual,Estimado
2011-07-01,2011,7,10867.98,5929.35,0.0,1163.227254430688,11814097.512831664,0.21393816225808523,10398.368438257798,0.0308208741463832,Mensual,Estimado
2011-08-01,2011,8,10867.98,5929.35,0.0,1909.7465179319772,19395979.16202665,0.35123632021939494,10398.368438257796,0.0506006516409234,Mensual,Estimado
2011-09-01,2011,9,10867.98,5929.35,0.0,2507.1713820031355,25463611.753889583,0.4611133687667352,10398.3684382578,0.0664300233112675,Mensual,Estimado
2011-10-01,2011,10,10867.98,5929.35,0.0,3884.6604566355136,39453818.90264827,0.7144580871224562,10398.368438257798,0.1029279795322478,Mensual,Estimado
2011-11-01,2011,11,10867.98,5929.35,0.0,4046.037219492946,41092811.46015667,0.7441381414242918,10398.3684382578,0.1072038189086334,Mensual,Estimado
2011-12-01,2011,12,10867.98,5929.35,0.0,4413.066326468388,44820473.138766155,0.8116413161843972,10398.368438257798,0.1169286236456802,Mensual,Estimado
2012-01-01,2012,1,11043.11,5733.6,0.0,4419.600553425825,53531404.72789556,0.7668695848035354,12468.754452217758,0.1082016569919234,Mensual,Estimado
2012-02-01,2012,2,11043.11,5733.6,0.0,2959.6230325358774,35847759.65191503,0.5135407281041424,12468.754452217758,0.0724581582250944,Mensual,Estimado
2012-03-01,2012,3,11043.11,5733.6,0.0,3763.483198149749,45584332.75392389,0.6530229966920964,12468.754452217761,0.0921384440015548,Mensual,Estimado
2012-04-01,2012,4,11043.11,5733.6,0.0,3585.974621524573,43434300.56365517,0.6222224918025542,12468.75445221776,0.0877926390155739,Mensual,Estimado
2012-05-01,2012,5,11043.11,5733.6,0.0,2722.9869140935944,32981558.58318881,0.47248067308204555,12468.754452217758,0.0666647794321297,Mensual,Estimado
2012-06-01,2012,6,11043.11,5733.6,0.0,2383.8691551900783,28874071.994110197,0.413638456047689,12468.75445221776,0.0583624220165244,Mensual,Estimado
2012-07-01,2012,7,11043.11,5733.6,0.0,1572.7312845303754,19049349.34790857,0.27289339219592024,12468.75445221776,0.0385039618246302,Mensual,Estimado
2012-08-01,2012,8,11043.11,5733.6,0.0,2612.4810474560654,31643081.451540574,0.45330618275373114,12468.75445221776,0.0639593498954625,Mensual,Estimado
2012-09-01,2012,9,11043.11,5733.6,0.0,2806.8372508369794,33997176.68227272,0.48703001349114494,12468.75445221776,0.0687176222773801,Mensual,Estimado
2012-10-01,2012,10,11043.11,5733.6,0.0,4525.611099558207,54815433.314152956,0.7852640669551677,12468.75445221776,0.1107970310786723,Mensual,Estimado
2012-11-01,2012,11,11043.11,5733.6,0.0,4474.593866336219,54197498.700676024,0.7764117817801095,12468.75445221776,0.1095480156748971,Mensual,Estimado
2012-12-01,2012,12,11043.11,5733.6,0.0,5018.167976362456,60781416.25876048,0.8707303626171612,12468.75445221776,0.1228559195661567,Mensual,Estimado
2013-01-01,2013,1,13434.100000000002,8890.140000000001,0.0,12033.277346844603,121798353.06717455,1.3044058631558744,9172.404485518899,0.1377312934681939,Mensual,Estimado
2013-02-01,2013,2,13434.100000000002,8890.140000000001,0.0,8179.042132331925,82786578.64112842,0.8866072147177997,9172.404485518899,0.0936162293734821,Mensual,Estimado
2013-03-01,2013,3,13434.100000000002,8890.140000000001,0.0,9573.573882672736,96901741.58432561,1.0377742940653534,9172.404485518899,0.109577854475331,Mensual,Estimado
2013-04-01,2013,4,13434.100000000002,8890.140000000001,0.0,7787.720814879851,78825704.92302722,0.8441880294742871,9172.404485518899,0.0891372175747152,Mensual,Estimado
2013-05-01,2013,5,13434.100000000002,8890.140000000001,0.0,7564.13113404854,76562576.25881422,0.8199509341085768,9172.404485518899,0.0865780397996668,Mensual,Estimado
2013-06-01,2013,6,13434.100000000002,8890.140000000001,0.0,5133.262725538503,51957827.26604011,0.5564450816940352,9172.404485518899,0.0587546430221587,Mensual,Estimado
2013-07-01,2013,7,13434.100000000002,8890.140000000001,0.0,3403.045928112946,34444929.46593629,0.3688897823320963,9172.404485518899,0.0389508114789336,Mensual,Estimado
2013-08-01,2013,8,13434.100000000002,8890.140000000001,0.0,3497.712852410512,35403128.56141396,0.37915166590224925,9172.404485518899,0.0400343565146157,Mensual,Estimado
2013-09-01,2013,9,13434.100000000002,8890.140000000001,0.0,5008.856682964744,50698614.9450458,0.5429594811657814,9172.404485518899,0.0573307079905743,Mensual,Estimado
2013-10-01,2013,10,13434.100000000002,8890.140000000001,0.0,8539.771684776722,86437808.81924416,0.9257102561968507,9172.404485518899,0.0977450918951668,Mensual,Estimado
